Title,First Name,Last Name,Email,Phone,Start Date
Mrs.,Ann,Schmidt,ann.schmidt@picotech.com,738-242-1341,2020-08-09
Mrs.,Avery,Campbell,avery.campbell@picotech.com,367-731-3268,2020-11-23
Mrs.,Natalie,Steeves,natalie.steeves @microtech.com,825-829-9367,2019-01-07
Mr.,Vernon,Mitchelle,vernon.mitchelle@nanotech.com,723-488-7420,2019-12-08
Mrs.,Dora,Stone,dora.stone@microtech.com,960-903-3327,2016-10-22
Mr.,Corey,Roberts,corey.roberts@picotech.com,524-778-4491,2018-02-07
Mrs.,Evelyn,Rogers,evelyn.rogers@picotech.com,979-893-2866,2019-01-10
Mr.,Albert,Burns,albert.burns@nanotech.com,652-417-3802,2016-03-28
Mr.,Edgar,Perkins,edgar.perkins@nanotech.com,972-503-5681,2019-02-10
Mr.,Derek,Larson,derek.larson@nanotech.com,497-945-7397,2019-09-09
Mr.,Ronnie,Owens,ronnie.owens@picotech.com,475-636-9075,2021-01-31
Mrs.,Joy,Harvey,joy.harvey@microtech.com,801-827-6443,2016-03-26
Mr.,Clinton,Crawford,clinton.crawford.@microtech.com,338-757-9951,2021-02-03
Miss,Lorraine,Douglas,lorraine.douglas@picotech.com,406-602-8206,2016-11-27
Miss,Layla,Wagner,layla.wagner@picotech.com,558-895-3874,2016-07-05
Miss,Cherly,Barrett,cherly.barrett@microtech.com,605-655-5477,2021-01-25
Mr.,Ron,Gutierrez,ron.gutierrez@nanotech.com,681-543-8557,2020-06-20
Miss,Christine,Harper,christine.harper@nanotech.com,446-524-9509,2016-06-01
Miss,Joyce,Wright,joyce.wright@nanotech.com,508-691-4972,2016-07-11
Mr.,Marc,Patterson,marc.patterson@picotech.com,689-784-1527,2018-06-11
Mrs.,Stacey,Mitchell,stacey.mitchell@microtech.com,945-835-6552,2017-05-20
Mrs.,Carolyn,Montgomery,carolyn.montgomery@microtech.com,273-384-9609,2016-06-28
Mr.,EdwaRd.,Matthews,edward..matthews@microtech.com,933-861-3787,2016-02-20
Miss,Victoria,Diaz,victoria.diaz@picotech.com,636-636-2206,2021-01-19
Mr.,Louis,Mitchelle,louis.mitchelle@nanotech.com,912-326-4036,2017-02-16
Mrs.,Marian,Vasquez,marian.vasquez@microtech.com,862-856-4087,2019-09-22
Mr.,Bryan,Dunn,bryan.dunn@microtech.com,252-957-6992,2019-09-07
Miss,Stacey,Larson,stacey.larson@microtech.com,358-429-3422,2018-12-04
Mr.,Vernon,Cook,vernon.cook@picotech.com,889-525-5363,2016-04-25
Mr.,Lawrence,Carter,lawrence.carter@microtech.com,257-292-5216,2016-12-13
Mr.,Oscar,Pierce,oscar.pierce@nanotech.com,980-961-7753,2018-06-11
Mr.,Luis,Ellis,luis.ellis@nanotech.com,275-810-4155,2016-12-24
Mr.,Mathew,ByRd.,mathew.byrd.@picotech.com,579-783-8252,2016-01-01
Mrs.,Sheila,Jensen,sheila.jensen@nanotech.com,923-726-4211,2018-09-18
Mr.,Louis,Barnes,louis.barnes@microtech.com,575-449-4438,2018-06-04
Miss,Rhonda,Gray,rhonda.gray@microtech.com,440-967-5433,2019-06-03
Mr.,Thomas,Reid,thomas.reid@picotech.com,465-480-4176,2021-03-20
Mr.,Brent,Little,brent.little@nanotech.com,216-716-1943,2020-10-02
Miss,Bernice,Steeves,bernice.steeves @microtech.com,341-237-2946,2018-07-31
Mr.,Dwayne,Hale,dwayne.hale@microtech.com,750-571-6772,2016-04-18
Mr.,Adam,Stanley,adam.stanley@nanotech.com,992-891-4574,2017-05-05
Mr.,Shawn,Ortiz,shawn.ortiz@nanotech.com,884-937-7138,2016-12-28
